"統計名：","人口推計 各年10月1日現在人口 令和２年国勢調査基準 統計表"
"表番号：","004"
"表題：","都道府県，男女別人口及び人口性比−総人口，日本人人口"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","/人口 コード","001","001","001","001","002","002","002","002"
"","","","","/人口","総人口","総人口","総人口","総人口","日本人人口","日本人人口","日本人人口","日本人人口"
"","","","","/男女別・性比 コード","001","002","003","004","001","002","003","004"
"時間軸（年月日現在） コード","時間軸（年月日現在）","全国・都道府県 コード","全国・都道府県","/男女別・性比","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】","男女計【千人】","男【千人】","女【千人】","人口性比【女性＝100】"
"1301","2021年10月1日現在","00000","全国","","125,502","61,019","64,483","94.6","122,780","59,687","63,094","94.6"
"1301","2021年10月1日現在","01000","北海道","","5,183","2,446","2,737","89.4","5,147","2,429","2,717","89.4"
"1301","2021年10月1日現在","02000","青森県","","1,221","575","646","89.1","1,216","573","642","89.3"
"1301","2021年10月1日現在","03000","岩手県","","1,196","577","620","93.0","1,189","574","615","93.3"
"1301","2021年10月1日現在","04000","宮城県","","2,290","1,117","1,174","95.2","2,269","1,107","1,162","95.2"
"1301","2021年10月1日現在","05000","秋田県","","945","446","499","89.3","941","444","497","89.5"
"1301","2021年10月1日現在","06000","山形県","","1,055","511","544","93.8","1,048","508","540","94.1"
"1301","2021年10月1日現在","07000","福島県","","1,812","894","918","97.4","1,799","888","911","97.5"
"1301","2021年10月1日現在","08000","茨城県","","2,852","1,423","1,428","99.6","2,785","1,389","1,396","99.5"
"1301","2021年10月1日現在","09000","栃木県","","1,921","958","963","99.5","1,880","938","942","99.6"
"1301","2021年10月1日現在","10000","群馬県","","1,927","953","974","97.9","1,866","922","944","97.6"
"1301","2021年10月1日現在","11000","埼玉県","","7,340","3,646","3,694","98.7","7,152","3,552","3,599","98.7"
"1301","2021年10月1日現在","12000","千葉県","","6,275","3,111","3,164","98.3","6,114","3,033","3,081","98.5"
"1301","2021年10月1日現在","13000","東京都","","14,010","6,875","7,135","96.4","13,459","6,606","6,853","96.4"
"1301","2021年10月1日現在","14000","神奈川県","","9,236","4,584","4,652","98.5","9,007","4,471","4,536","98.6"
"1301","2021年10月1日現在","15000","新潟県","","2,177","1,057","1,120","94.4","2,161","1,051","1,110","94.6"
"1301","2021年10月1日現在","16000","富山県","","1,025","498","527","94.5","1,008","490","518","94.5"
"1301","2021年10月1日現在","17000","石川県","","1,125","546","579","94.3","1,111","538","572","94.1"
"1301","2021年10月1日現在","18000","福井県","","760","371","389","95.3","746","364","381","95.6"
"1301","2021年10月1日現在","19000","山梨県","","805","395","410","96.4","789","388","402","96.6"
"1301","2021年10月1日現在","20000","長野県","","2,033","994","1,040","95.6","1,999","978","1,021","95.9"
"1301","2021年10月1日現在","21000","岐阜県","","1,961","952","1,009","94.3","1,907","926","981","94.3"
"1301","2021年10月1日現在","22000","静岡県","","3,608","1,778","1,829","97.2","3,515","1,733","1,782","97.2"
"1301","2021年10月1日現在","23000","愛知県","","7,517","3,746","3,771","99.3","7,261","3,619","3,642","99.4"
"1301","2021年10月1日現在","24000","三重県","","1,756","857","898","95.4","1,705","831","873","95.2"
"1301","2021年10月1日現在","25000","滋賀県","","1,411","696","715","97.3","1,377","678","699","96.9"
"1301","2021年10月1日現在","26000","京都府","","2,561","1,223","1,339","91.3","2,505","1,195","1,310","91.2"
"1301","2021年10月1日現在","27000","大阪府","","8,806","4,216","4,590","91.9","8,565","4,097","4,468","91.7"
"1301","2021年10月1日現在","28000","兵庫県","","5,432","2,582","2,850","90.6","5,324","2,529","2,795","90.5"
"1301","2021年10月1日現在","29000","奈良県","","1,315","619","696","89.0","1,302","613","689","88.9"
"1301","2021年10月1日現在","30000","和歌山県","","914","431","483","89.2","907","428","479","89.4"
"1301","2021年10月1日現在","31000","鳥取県","","549","262","286","91.6","544","261","283","92.0"
"1301","2021年10月1日現在","32000","島根県","","665","322","343","93.7","655","317","338","93.7"
"1301","2021年10月1日現在","33000","岡山県","","1,876","902","974","92.6","1,847","888","959","92.6"
"1301","2021年10月1日現在","34000","広島県","","2,780","1,347","1,432","94.1","2,729","1,322","1,407","93.9"
"1301","2021年10月1日現在","35000","山口県","","1,328","630","697","90.5","1,312","623","689","90.4"
"1301","2021年10月1日現在","36000","徳島県","","712","340","372","91.4","706","338","368","91.7"
"1301","2021年10月1日現在","37000","香川県","","942","455","487","93.4","930","449","481","93.3"
"1301","2021年10月1日現在","38000","愛媛県","","1,321","627","694","90.2","1,309","621","688","90.2"
"1301","2021年10月1日現在","39000","高知県","","684","323","361","89.5","680","321","359","89.4"
"1301","2021年10月1日現在","40000","福岡県","","5,124","2,425","2,698","89.9","5,045","2,384","2,661","89.6"
"1301","2021年10月1日現在","41000","佐賀県","","806","382","424","90.1","800","379","420","90.3"
"1301","2021年10月1日現在","42000","長崎県","","1,297","610","687","88.8","1,288","606","682","88.8"
"1301","2021年10月1日現在","43000","熊本県","","1,728","818","910","89.9","1,712","811","901","90.0"
"1301","2021年10月1日現在","44000","大分県","","1,114","529","585","90.4","1,102","523","579","90.4"
"1301","2021年10月1日現在","45000","宮崎県","","1,061","501","560","89.5","1,054","498","556","89.6"
"1301","2021年10月1日現在","46000","鹿児島県","","1,576","743","833","89.3","1,565","739","826","89.5"
"1301","2021年10月1日現在","47000","沖縄県","","1,468","723","745","97.0","1,449","712","737","96.6"
"1701","2022年10月1日現在","00000","全国","","124,947","60,758","64,189","94.7","122,031","59,314","62,717","94.6"
"1701","2022年10月1日現在","01000","北海道","","5,140","2,427","2,714","89.4","5,098","2,407","2,692","89.4"
"1701","2022年10月1日現在","02000","青森県","","1,204","568","636","89.2","1,198","565","633","89.4"
"1701","2022年10月1日現在","03000","岩手県","","1,181","570","611","93.3","1,173","566","606","93.4"
"1701","2022年10月1日現在","04000","宮城県","","2,280","1,112","1,168","95.2","2,256","1,100","1,156","95.2"
"1701","2022年10月1日現在","05000","秋田県","","930","439","491","89.5","926","438","488","89.6"
"1701","2022年10月1日現在","06000","山形県","","1,041","505","536","94.1","1,033","502","532","94.3"
"1701","2022年10月1日現在","07000","福島県","","1,790","884","906","97.6","1,776","878","898","97.7"
"1701","2022年10月1日現在","08000","茨城県","","2,840","1,418","1,422","99.7","2,767","1,380","1,387","99.5"
"1701","2022年10月1日現在","09000","栃木県","","1,909","952","956","99.6","1,865","930","934","99.6"
"1701","2022年10月1日現在","10000","群馬県","","1,913","947","966","98.0","1,850","914","936","97.7"
"1701","2022年10月1日現在","11000","埼玉県","","7,337","3,643","3,694","98.6","7,136","3,542","3,594","98.5"
"1701","2022年10月1日現在","12000","千葉県","","6,266","3,104","3,162","98.2","6,100","3,024","3,076","98.3"
"1701","2022年10月1日現在","13000","東京都","","14,038","6,889","7,149","96.4","13,443","6,595","6,848","96.3"
"1701","2022年10月1日現在","14000","神奈川県","","9,232","4,579","4,653","98.4","8,991","4,459","4,531","98.4"
"1701","2022年10月1日現在","15000","新潟県","","2,153","1,046","1,107","94.5","2,136","1,039","1,097","94.7"
"1701","2022年10月1日現在","16000","富山県","","1,017","495","522","94.8","998","485","513","94.6"
"1701","2022年10月1日現在","17000","石川県","","1,118","543","575","94.4","1,102","534","568","94.1"
"1701","2022年10月1日現在","18000","福井県","","753","368","385","95.6","738","361","377","95.8"
"1701","2022年10月1日現在","19000","山梨県","","802","394","408","96.6","784","385","398","96.7"
"1701","2022年10月1日現在","20000","長野県","","2,020","988","1,032","95.7","1,984","971","1,012","95.9"
"1701","2022年10月1日現在","21000","岐阜県","","1,946","945","1,001","94.4","1,888","916","972","94.3"
"1701","2022年10月1日現在","22000","静岡県","","3,582","1,766","1,816","97.3","3,484","1,718","1,766","97.3"
"1701","2022年10月1日現在","23000","愛知県","","7,495","3,734","3,761","99.3","7,228","3,601","3,627","99.3"
"1701","2022年10月1日現在","24000","三重県","","1,742","851","891","95.6","1,689","824","865","95.3"
"1701","2022年10月1日現在","25000","滋賀県","","1,409","695","714","97.4","1,373","676","697","96.9"
"1701","2022年10月1日現在","26000","京都府","","2,550","1,217","1,333","91.3","2,485","1,185","1,300","91.1"
"1701","2022年10月1日現在","27000","大阪府","","8,782","4,202","4,580","91.7","8,524","4,074","4,450","91.5"
"1701","2022年10月1日現在","28000","兵庫県","","5,402","2,567","2,835","90.5","5,287","2,510","2,777","90.4"
"1701","2022年10月1日現在","29000","奈良県","","1,306","614","691","88.9","1,291","607","684","88.8"
"1701","2022年10月1日現在","30000","和歌山県","","903","426","477","89.2","896","423","473","89.3"
"1701","2022年10月1日現在","31000","鳥取県","","544","260","284","91.7","539","258","281","92.0"
"1701","2022年10月1日現在","32000","島根県","","658","318","340","93.8","648","314","334","93.8"
"1701","2022年10月1日現在","33000","岡山県","","1,862","896","966","92.7","1,832","881","951","92.6"
"1701","2022年10月1日現在","34000","広島県","","2,760","1,338","1,422","94.1","2,708","1,312","1,396","94.0"
"1701","2022年10月1日現在","35000","山口県","","1,313","624","689","90.6","1,297","616","681","90.5"
"1701","2022年10月1日現在","36000","徳島県","","704","336","368","91.5","698","334","364","91.8"
"1701","2022年10月1日現在","37000","香川県","","934","451","483","93.5","920","444","476","93.4"
"1701","2022年10月1日現在","38000","愛媛県","","1,306","620","686","90.4","1,294","614","680","90.2"
"1701","2022年10月1日現在","39000","高知県","","676","320","356","89.7","671","317","354","89.5"
"1701","2022年10月1日現在","40000","福岡県","","5,116","2,423","2,693","90.0","5,030","2,378","2,653","89.6"
"1701","2022年10月1日現在","41000","佐賀県","","801","380","421","90.3","793","377","417","90.4"
"1701","2022年10月1日現在","42000","長崎県","","1,283","604","679","88.9","1,272","599","674","88.9"
"1701","2022年10月1日現在","43000","熊本県","","1,718","814","904","90.1","1,699","806","894","90.2"
"1701","2022年10月1日現在","44000","大分県","","1,107","526","581","90.6","1,092","519","573","90.6"
"1701","2022年10月1日現在","45000","宮崎県","","1,052","497","555","89.5","1,044","494","551","89.7"
"1701","2022年10月1日現在","46000","鹿児島県","","1,563","738","825","89.5","1,550","733","817","89.7"
"1701","2022年10月1日現在","47000","沖縄県","","1,468","723","746","96.9","1,446","710","736","96.5"
